Method,ICompRate,TestPass,Unsafe,RequiredUnsafe
Ours,100.00,94.92,16.35,8.48
Claude Code,100.00,80.08,33.67,14.00
C2Rust,99.58,67.50,58.11,13.82
C2SaferRust,79.99,40.92,27.63,8.54
EvoC2Rust,0.00,0.00,1.16,0.28
Tymcrat,9.09,0.00,38.03,17.73
